2020-03-16 16:50:01,337 [restartedMain] DEBUG [o.s.b.c.l.ClasspathLoggingApplicationListener] ClasspathLoggingApplicationListener.java:54 - Application failed to start with classpath: [file:/D:/IdeaProjects/demo/target/classes/]
2020-03-16 16:50:30,721 [restartedMain] DEBUG [o.springframework.boot.devtools.restart.Restarter] DeferredLog.java:222 - Creating new Restarter for thread Thread[main,5,main]
2020-03-16 16:50:30,723 [restartedMain] DEBUG [o.springframework.boot.devtools.restart.Restarter] DeferredLog.java:222 - Immediately restarting application
2020-03-16 16:50:30,724 [restartedMain] DEBUG [o.springframework.boot.devtools.restart.Restarter] DeferredLog.java:222 - Created RestartClassLoader org.springframework.boot.devtools.restart.classloader.RestartClassLoader@387b0115
2020-03-16 16:50:30,724 [restartedMain] DEBUG [o.springframework.boot.devtools.restart.Restarter] DeferredLog.java:222 - Starting application com.example.DemoApplication with URLs [file:/D:/IdeaProjects/demo/target/classes/]
2020-03-16 16:50:30,776 [restartedMain] DEBUG [o.s.b.c.l.ClasspathLoggingApplicationListener] ClasspathLoggingApplicationListener.java:54 - Application failed to start with classpath: [file:/D:/IdeaProjects/demo/target/classes/]
2020-03-16 16:51:36,400 [restartedMain] DEBUG [o.s.b.c.l.ClasspathLoggingApplicationListener] ClasspathLoggingApplicationListener.java:51 - Application started with classpath: [file:/D:/IdeaProjects/demo/target/classes/]
2020-03-16 16:51:36,486 [restartedMain] INFO  [com.example.DemoApplication] StartupInfoLogger.java:55 - Starting DemoApplication on LAPTOP-E8R9KGAS with PID 16364 (D:\IdeaProjects\demo\target\classes started by zxs in D:\IdeaProjects\demo)
2020-03-16 16:51:36,487 [restartedMain] DEBUG [com.example.DemoApplication] StartupInfoLogger.java:56 - Running with Spring Boot v2.2.5.RELEASE, Spring v5.2.4.RELEASE
2020-03-16 16:51:36,487 [restartedMain] INFO  [com.example.DemoApplication] SpringApplication.java:651 - No active profile set, falling back to default profiles: default
2020-03-16 16:51:36,487 [restartedMain] DEBUG [org.springframework.boot.SpringApplication] SpringApplication.java:679 - Loading source class com.example.DemoApplication
